frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags,http.request.method,http.request.uri,http.host,data.text
1759895052.323654000,44.228.249.3,172.20.10.7,80,49188,,,6,74,0x0012,,,,
1759895052.323655000,44.228.249.3,172.20.10.7,80,49182,,,6,74,0x0012,,,,
1759895052.708885000,44.228.249.3,172.20.10.7,80,49182,,,6,66,0x0010,,,,
1759895052.714913000,44.228.249.3,172.20.10.7,80,49182,,,6,2678,0x0018,,,,
1759895052.714913000,44.228.249.3,172.20.10.7,80,49182,,,6,451,0x0019,,,,
1759895053.118747000,44.228.249.3,172.20.10.7,80,49182,,,6,66,0x0010,,,,
1759895053.324669000,44.228.249.3,172.20.10.7,80,49188,,,6,66,0x0011,,,,
1759895099.118521000,44.228.249.3,172.20.10.7,80,47166,,,6,74,0x0012,,,,
1759895099.118522000,44.228.249.3,172.20.10.7,80,47170,,,6,74,0x0012,,,,
1759895099.733361000,44.228.249.3,172.20.10.7,80,47166,,,6,66,0x0010,,,,
1759895099.733362000,44.228.249.3,172.20.10.7,80,47166,,,6,2678,0x0018,,,,
1759895099.733362000,44.228.249.3,172.20.10.7,80,47166,,,6,451,0x0019,,,,
1759895100.071044000,44.228.249.3,172.20.10.7,80,47166,,,6,66,0x0010,,,,
1759895100.259719000,44.228.249.3,172.20.10.7,80,35454,,,6,74,0x0012,,,,
1759895100.259719000,44.228.249.3,172.20.10.7,80,47170,,,6,66,0x0010,,,,
1759895100.259719000,44.228.249.3,172.20.10.7,80,47170,,,6,2678,0x0018,,,,
1759895100.259720000,44.228.249.3,172.20.10.7,80,47170,,,6,86,0x0019,,,,
1759895100.669818000,44.228.249.3,172.20.10.7,80,47170,,,6,66,0x0010,,,,
1759895100.860056000,44.228.249.3,172.20.10.7,80,35454,,,6,66,0x0011,,,,
1759895122.681894000,44.228.249.3,172.20.10.7,80,52430,,,6,74,0x0012,,,,
1759895122.695130000,44.228.249.3,172.20.10.7,80,52432,,,6,74,0x0012,,,,
1759895122.989666000,44.228.249.3,172.20.10.7,80,52432,,,6,66,0x0010,,,,
1759895122.989667000,44.228.249.3,172.20.10.7,80,52432,,,6,2678,0x0018,,,,
1759895122.989667000,44.228.249.3,172.20.10.7,80,52432,,,6,451,0x0019,,,,
1759895123.398550000,44.228.249.3,172.20.10.7,80,52432,,,6,66,0x0010,,,,
1759895123.603963000,44.228.249.3,172.20.10.7,80,52430,,,6,66,0x0010,,,,
1759895123.605615000,44.228.249.3,172.20.10.7,80,52430,,,6,2678,0x0018,,,,
1759895123.605616000,44.228.249.3,172.20.10.7,80,52430,,,6,115,0x0019,,,,
1759895123.605616000,44.228.249.3,172.20.10.7,80,52446,,,6,74,0x0012,,,,
1759895123.994929000,44.228.249.3,172.20.10.7,80,52430,,,6,66,0x0010,,,,
1759895124.014435000,44.228.249.3,172.20.10.7,80,52456,,,6,74,0x0012,,,,
1759895124.036617000,44.228.249.3,172.20.10.7,80,52446,,,6,66,0x0010,,,,
1759895124.036617000,44.228.249.3,172.20.10.7,80,52446,,,6,2678,0x0018,,,,
1759895124.036617000,44.228.249.3,172.20.10.7,80,52446,,,6,165,0x0019,,,,
1759895124.478665000,44.228.249.3,172.20.10.7,80,52446,,,6,66,0x0010,,,,
1759895143.184975000,44.228.249.3,172.20.10.7,80,52456,,,6,66,0x0011,,,,
1759895165.124020000,44.228.249.3,172.20.10.7,80,38536,,,6,74,0x0012,,,,
1759895165.132124000,44.228.249.3,172.20.10.7,80,38546,,,6,74,0x0012,,,,
1759895165.430446000,44.228.249.3,172.20.10.7,80,38536,,,6,66,0x0010,,,,
1759895165.430447000,44.228.249.3,172.20.10.7,80,38536,,,6,2678,0x0018,,,,
1759895165.430447000,44.228.249.3,172.20.10.7,80,38536,,,6,451,0x0019,,,,
1759895165.843806000,44.228.249.3,172.20.10.7,80,38536,,,6,66,0x0010,,,,
1759895165.965026000,44.228.249.3,172.20.10.7,80,38546,,,6,66,0x0011,,,,
1759895179.576304000,44.228.249.3,172.20.10.7,80,53668,,,6,74,0x0012,,,,
1759895179.576304000,44.228.249.3,172.20.10.7,80,53682,,,6,74,0x0012,,,,
1759895179.897367000,44.228.249.3,172.20.10.7,80,53668,,,6,66,0x0010,,,,
1759895179.897368000,44.228.249.3,172.20.10.7,80,53668,,,6,2678,0x0018,,,,
1759895179.897368000,44.228.249.3,172.20.10.7,80,53668,,,6,451,0x0019,,,,
1759895180.226726000,44.228.249.3,172.20.10.7,80,53668,,,6,66,0x0010,,,,
1759895190.539935000,44.228.249.3,172.20.10.7,80,53682,,,6,66,0x0011,,,,
1759895200.488998000,44.228.249.3,172.20.10.7,80,36226,,,6,74,0x0012,,,,
1759895200.488998000,44.228.249.3,172.20.10.7,80,36242,,,6,74,0x0012,,,,
1759895200.889772000,44.228.249.3,172.20.10.7,80,36226,,,6,66,0x0010,,,,
1759895200.889772000,44.228.249.3,172.20.10.7,80,36226,,,6,2678,0x0018,,,,
1759895200.889772000,44.228.249.3,172.20.10.7,80,36226,,,6,451,0x0019,,,,
1759895201.196369000,44.228.249.3,172.20.10.7,80,36226,,,6,66,0x0010,,,,
1759895220.316116000,44.228.249.3,172.20.10.7,80,36242,,,6,66,0x0011,,,,
