ip.src,ip.dst,time_bin,packet_count,total_bytes,avg_frame_len,min_frame_len,max_frame_len,unique_src_ports,unique_dst_ports,syn_count,ack_count,rst_count,psh_count,bytes_per_packet,packets_per_sec,label
44.228.249.3,192.168.1.74,352278934,2707,162420,60.0,60,60,1,2472,2683,2707,0,0,60.0,541.4,DoS
44.228.249.3,192.168.1.74,352278935,2600,156000,60.0,60,60,1,2551,2570,2600,0,0,60.0,520.0,DoS
44.228.249.3,192.168.1.74,352278936,1797,107820,60.0,60,60,1,1775,1794,1797,0,0,60.0,359.4,DoS
44.228.249.3,192.168.110.128,351886086,5,300,60.0,60,60,2,5,2,2,2,0,60.0,1.0,Scan
44.228.249.3,192.168.110.128,351886087,3,180,60.0,60,60,1,3,0,0,3,0,60.0,0.6,Scan
44.228.249.3,192.168.110.128,351886088,2,120,60.0,60,60,1,2,0,0,2,0,60.0,0.4,Scan
44.228.249.3,192.168.110.128,351886092,29,1740,60.0,60,60,19,3,0,29,29,0,60.0,5.8,Scan
44.228.249.3,192.168.110.128,351886095,28,1680,60.0,60,60,24,2,0,28,28,0,60.0,5.6,Scan
44.228.249.3,192.168.110.128,351886099,43,2580,60.0,60,60,27,19,0,26,43,0,60.0,8.6,Scan
44.228.249.3,192.168.110.128,351886100,1,60,60.0,60,60,1,1,0,0,1,0,60.0,0.2,Scan
44.228.249.3,192.168.110.128,351886101,4,240,60.0,60,60,1,4,0,0,4,0,60.0,0.8,Scan
44.228.249.3,192.168.110.128,351886102,4,240,60.0,60,60,1,4,0,0,4,0,60.0,0.8,Scan
44.228.249.3,192.168.110.128,351886103,80,4800,60.0,60,60,60,8,1,76,79,0,60.0,16.0,Scan
44.228.249.3,192.168.110.128,351886104,167,10020,60.0,60,60,82,3,0,167,167,0,60.0,33.4,Scan
44.228.249.3,192.168.110.128,351886105,489,29794,60.92842535787321,60,363,211,9,5,489,468,5,60.92842535787321,97.8,Scan
44.228.249.3,192.168.110.128,351886106,118,7080,60.0,60,60,61,3,0,118,118,0,60.0,23.6,Scan
44.228.249.3,192.168.110.128,351886108,148,8880,60.0,60,60,84,3,0,148,148,0,60.0,29.6,Scan
44.228.249.3,192.168.110.128,351886109,474,30423,64.18354430379746,60,363,163,21,16,468,436,7,64.18354430379746,94.8,Scan
44.228.249.3,192.168.110.128,351886110,199,18468,92.80402010050251,60,363,2,60,53,186,9,44,92.80402010050251,39.8,Scan
44.228.249.3,192.168.110.128,351886111,94,9579,101.90425531914893,60,363,1,26,23,94,0,25,101.90425531914893,18.8,Scan
44.228.249.3,192.168.110.128,351886112,11,963,87.54545454545455,60,363,1,4,3,11,0,3,87.54545454545455,2.2,Scan
44.228.249.3,192.168.110.128,351886113,1,60,60.0,60,60,1,1,0,1,1,0,60.0,0.2,Scan
44.228.249.3,172.20.10.7,351979010,7,3475,496.42857142857144,66,2678,1,2,2,7,0,2,496.42857142857144,1.4,SQLi
44.228.249.3,172.20.10.7,351979019,5,3343,668.6,66,2678,1,2,2,5,0,2,668.6,1.0,SQLi
44.228.249.3,172.20.10.7,351979020,7,3102,443.14285714285717,66,2678,1,3,1,7,0,2,443.14285714285717,1.4,SQLi
44.228.249.3,172.20.10.7,351979024,16,9457,591.0625,66,2678,1,4,4,16,0,6,591.0625,3.2,SQLi
44.228.249.3,172.20.10.7,351979028,1,66,66.0,66,66,1,1,0,1,0,0,66.0,0.2,SQLi
44.228.249.3,172.20.10.7,351979033,7,3475,496.42857142857144,66,2678,1,2,2,7,0,2,496.42857142857144,1.4,SQLi
44.228.249.3,172.20.10.7,351979035,5,3343,668.6,66,2678,1,2,2,5,0,2,668.6,1.0,SQLi
44.228.249.3,172.20.10.7,351979036,1,66,66.0,66,66,1,1,0,1,0,0,66.0,0.2,SQLi
44.228.249.3,172.20.10.7,351979038,1,66,66.0,66,66,1,1,0,1,0,0,66.0,0.2,SQLi
44.228.249.3,172.20.10.7,351979040,6,3409,568.1666666666666,66,2678,1,2,2,6,0,2,568.1666666666666,1.2,SQLi
44.228.249.3,172.20.10.7,351979044,1,66,66.0,66,66,1,1,0,1,0,0,66.0,0.2,SQLi
